No.,Article,ID,Supplier,Category,Purchases €,Units,Purchases Year Before €,Units Year Before,YoY Comparison
30,AIR FRESHSENER APPLE 20 L,E-266,Induquim,Chemicals,"€2,184.56",94,"€2,106.80",92,"+3,69%"
31,"MOP YELLOW PROFFESIONAL VILEDA, SPARE",145610,Vileda,Cleaning utensils,"€2,341.56",1.501,"€2,186.37",1.429,"+7,10%"
32,GLOVE NITRILE BLUE ND NITRIFLEX L 100 U,GD20G,Santex 2000,Cleaning utensils,"€2,550.12",1.076,"€2,271.75",975,"+12,25%"
33,"NAPKIN 40X40 WHITE DUNISOFT, BOX 720 U",107395,Duni,Cellulose,"€2,763.67",91,"€2,333.76",78,"+18,42%"
34,HAND DRYING ROLL TORK MATIC 2C 150M GREEN,290076,Essity,Cellulose,"€2,713.77",621,"€2,511.20",584,"+8,07%"
35,FLOOR CLEANER AMMONIACAL 4X 5 L,E-102C,Induquim,Chemicals,"€3,210.11",391,"€2,739.12",339,"+17,19%"
36,"TOILET PAPER TORK 2P 37M/300S, BUNDLE 60 ROLLS",472147,Essity,Cellulose,"€2,827.02",254,"€2,786.38",254,"+1,46%"
37,ROLL IND. BLUE SMALL 3P 285m,7425,Kimberly-Clark,Cellulose,"€3,520.80",270,"€3,071.15",239,"+14,64%"
38,"TOILET PAPER TORK 4P 19M/153S, BUNDLE 42 ROLLS",110405,Essity,Cellulose,"€3,539.10",251,"€3,153.03",227,"+12,24%"
39,"FACIAL TISSUE TORK, CASE 100 UT, BOX 30",140280,Essity,Cellulose,"€3,974.60",238,"€3,684.80",224,"+7,86%"
40,DESCALER CALCAREUS BATHRROM ROOMCARE R9.1 PLUS,7519075,Diversey,Chemicals,"€4,630.60",137,"€3,929.40",118,"+17,84%"
41,HAND LIQUID SOAP CONT 20 L,E2300101,Induquim,Chemicals,"€4,614.72",552,"€4,334.24",526,"+6,47%"
42,GLOVE NITRILE BLUE ND SANTEX M 100 U,GD21BC,Santex 2000,Cleaning utensils,"€5,346.50",1.850,"€4,705.35",1.651,"+13,63%"
43,"DISHWASHER CHLORINATED SUMA TEMPO L1.7, CONT 20 L",7508292,Diversey,Chemicals,"€5,094.44",97,"€4,812.75",93,"+5,85%"
44,CLEANING CLOTH MULTIPURPOSE ROLL 8 MTS,138080,Vileda,Cleaning utensils,"€5,271.56",469,"€4,886.28",441,"+7,88%"
45,GLOVE NITRILE BLUE ND SANTEX L 100 U,GD21BD,Santex 2000,Cleaning utensils,"€5,247.99",1.767,"€4,934.80",1.690,"+6,35%"
46,"DETERGENT MULTPURPOSE HARD SURFACES ROOMCARE R2 PLUS L, E",7510748,Diversey,Chemicals,"€5,522.34",186,"€5,031.00",172,"+9,77%"
47,FLOOR CLEANER BIOALCOHOL CONT 20 L,E2000028,Induquim,Chemicals,"€5,902.20",540,"€5,471.16",508,"+7,88%"
